,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
0,harpoon,big league,usa,355.0,26.9,6.0,8.0,3.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,7.577464788732394
1,barlingbo bryggeri,galgbacken,sverige,330.0,14.9,7.0,6.0,2.0,Passar till lammPassar till fläskPassar till sällskapsdryck,ale,india pale ale,4.515151515151515
2,holba horska,,tjeckien,330.0,9.4,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ljus lager,pilsner,2.8484848484848486
3,founders solid gold,,usa,355.0,16.9,5.0,5.0,2.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.76056338028169
4,newcastle brown ale,,storbritannien,330.0,16.9,5.0,5.0,2.0,Passar till fläskPassar till grönsakerPassar till nötPassar till sällskapsdryck,ale,brown ale,5.121212121212121
5,finn,unfiltered helles,sverige,440.0,21.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,4.977272727272727
6,nääs session ipa,nääs gårdsbryggeri,sverige,330.0,21.9,7.0,5.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ale,session ipa,6.636363636363636
7,bira 91,blonde summer lager,indien,330.0,15.9,4.0,4.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.818181818181818
8,arton56,glutenfri,sverige,330.0,12.9,4.0,4.0,1.0,Passar till fiskPassar till grönsakerPassar till fågelPassar till sällskapsdryck,ljus lager,internationell stil,3.909090909090909
9,menabrea,birra bionda,italien,330.0,14.9,4.0,5.0,2.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.515151515151515
10,filou,kasteel brouwerij vanhonsebrouck bvba,belgien,330.0,27.9,4.0,7.0,3.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,belgisk ljus ale,8.454545454545453
11,primátor antonin,,tjeckien,500.0,15.9,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,pilsner,3.18
12,1664 lager,,frankrike,330.0,12.9,3.0,4.0,1.0,Passar till fiskPassar till skaldjurPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,3.909090909090909
13,o.j. pilsener,,belgien,330.0,12.5,5.0,5.0,2.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,pilsner,3.787878787878788
14,nils oscar god lager eko,,sverige,440.0,21.9,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ljus lager,dortmunder och helles,4.977272727272727
15,estrella damm,,spanien,330.0,12.9,3.0,3.0,1.0,Passar till fågelPassar till fiskPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,3.909090909090909
16,budvar budejovicky dark lager,budéjovický budvar n p,tjeckien,500.0,16.9,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,mörk lager,dunkel,3.38
17,connecticut valley the visitor,,usa,355.0,24.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,golden/blond ale,7.014084507042254
18,gouden carolus ultra,,belgien,330.0,23.9,4.0,4.0,2.0,Passar till fläskPassar till lammPassar till grönsakerPassar till sällskapsdryck,ale,belgisk ljus ale,7.242424242424242
19,north brewing,full fathom 5,storbritannien,330.0,25.9,6.0,6.0,4.0,Passar till sällskapsdryck,söt porter och stout,,7.848484848484848
20,boulevard,berry noir,usa,355.0,25.9,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,berliner weisse,7.295774647887324
21,kona,longboard lager,usa,355.0,18.9,4.0,4.0,1.0,Passar till fiskPassar till grönsakerPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,5.32394366197183
22,gothenburg brew,american pale ale,sverige,330.0,22.8,7.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,amerikansk pale ale,6.909090909090909
23,alaryk,blanche,frankrike,330.0,27.9,2.0,4.0,2.0,Passar till fiskPassar till fågelPassar till kryddstarktPassar till grönsaker,veteöl,witbier,8.454545454545453
24,oppigårds,grim apa,sverige,330.0,23.5,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,7.121212121212121
25,poppels bryggeri,passion pale ale,sverige,330.0,24.9,5.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till grönsaker,ale,amerikansk pale ale,7.545454545454546
26,corona extra,,mexiko,355.0,18.5,3.0,3.0,1.0,Passar till asiatisktPassar till grönsakerPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,5.211267605633803
27,ey'bro,,sverige,330.0,7.9,4.0,4.0,1.0,Passar till fiskPassar till skaldjurPassar till sällskapsdryck,ljus lager,internationell stil,2.393939393939394
28,král lev pivo,,tjeckien,330.0,7.9,5.0,5.0,2.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,2.393939393939394
29,lagunitas,ipa,,355.0,23.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,6.732394366197182
30,brutal brewing,a ship full of ipa india pale ale,sverige,330.0,16.9,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,5.121212121212121
31,newcastle brown ale,,storbritannien,330.0,16.9,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,5.121212121212121
32,1664 blanc,,,330.0,17.7,1.0,4.0,1.0,Passar till kryddstarktPassar till buffématPassar till skaldjurPassar till sällskapsdryck,veteöl,witbier,5.363636363636363
33,hawkshead,red bitter,storbritannien,500.0,20.9,7.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,engelsk pale ale och bitter,4.18
34,amundsen,apocalyptic thunder juice neipa,norge,330.0,25.9,7.0,7.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till grönsaker,ale,new england ipa/hazy ipa,7.848484848484848
35,heineken,,,330.0,14.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.515151515151515
36,guinness,draught,irland,440.0,23.4,7.0,6.0,1.0,Passar till nötPassar till sällskapsdryckPassar till viltPassar till skaldjur,torr porter och stout,,5.3181818181818175
37,brewdog punk ipa,,storbritannien,330.0,20.9,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,6.333333333333332
38,melleruds,utmärkta pilsner,sverige,330.0,15.9,6.0,6.0,1.0,Passar till fläskPassar till fiskPassar till buffématPassar till sällskapsdryck,ljus lager,pilsner,4.818181818181818
39,leffe,blonde,belgien,330.0,20.9,4.0,7.0,4.0,Passar till fläskPassar till ostPassar till sällskapsdryckPassar till grönsaker,ale,belgisk ljus ale,6.333333333333332
40,hoegaarden,wit-blanche,belgien,330.0,17.0,1.0,4.0,1.0,Passar till grönsakerPassar till fiskPassar till sällskapsdryckPassar till kryddstarkt,veteöl,witbier,5.151515151515151
41,stigbergets,west coast neipa,sverige,330.0,32.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,new england ipa/hazy ipa,9.969696969696969
42,zlatopramen,half n' half,tjeckien,500.0,18.9,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,polotmavý,3.7800000000000002
43,peroni nastro azzurro,,italien,330.0,17.9,5.0,5.0,1.0,Passar till fågelPassar till fiskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,5.424242424242424
